eta,grid,time,nonlinear_iterations
0.1,128,0.0005376369923749304,4
0.1,128,0.0005924006916124235,4
0.1,128,0.0006526407607736659,4
0.1,128,0.0007189048368510325,4
0.1,128,0.0007917953205361358,4
0.1,128,0.0008719748525897494,4
0.1,128,0.0009601723378487245,4
0.1,128,0.001057189571633597,5
0.1,128,0.001163908528796957,5
0.1,128,0.001281299381676653,5
0.1,128,0.001410429319844318,5
0.1,128,0.00155247225182875,5
0.1,128,0.001708719477011625,5
0.1,128,0.001880591424712788,5
0.1,128,0.002069650567184067,5
0.1,128,0.002277615623902474,5
0.1,128,0.002506377186292721,5
0.1,128,0.002758014904921994,6
0.1,128,0.003034816395414193,6
0.1,128,0.003339298034955613,6
0.1,128,0.003674227838451174,6
0.1,128,0.004042650622296292,6
0.1,128,0.004447915684525921,6
0.1,128,0.004893707252978514,6
0.1,128,0.005384077978276365,7
0.1,128,0.005923485776104002,7
0.1,128,0.006516834353714403,7
0.1,128,0.007169517789085845,7
0.1,128,0.00788746956799443,7
0.1,128,0.008677216524793875,8
0.1,128,0.009545938177273262,8
0.1,128,0.01050153199500059,8
0.1,128,0.01155268519450065,8
0.1,128,0.01260183789454394,9
0.1,128,0.01362782209379202,8
0.1,128,0.0146327408891094,8
0.1,128,0.01561954950671249,8
0.1,128,0.0165907790313961,8
0.1,128,0.01754855891160817,8
0.1,128,0.01849469404584016,8
0.1,128,0.01943072723762142,8
0.1,128,0.02035798781691417,9
0.1,128,0.02127762990211651,9
0.1,128,0.02219066292397917,9
0.1,128,0.02309797629992439,9
0.1,128,0.02400035963917419,9
0.1,128,0.02489851950114134,9
0.1,128,0.02579309347782725,9
0.1,128,0.02668466218979264,9
0.1,128,0.0275737596537661,9
0.1,128,0.02846088238349911,9
0.1,128,0.0293464975140913,9
0.1,128,0.03023105018672545,9
0.1,128,0.0311149703905795,9
0.1,128,0.03199867942792406,9
0.1,128,0.03288259614419092,9
0.1,128,0.03376714304469586,9
0.1,128,0.03465275240147694,9
0.1,128,0.03553776819539164,9
0.1,128,0.03642099740944604,9
0.1,128,0.03730489651659189,9
0.1,128,0.03816269495710155,9
0.1,128,0.03897011598605828,9
0.1,128,0.03973402046193936,9
0.1,128,0.04046181189382664,9
0.1,128,0.04115942034333044,9
0.1,128,0.04183156986845656,9
0.1,128,0.04248208997336451,9
0.1,128,0.04311413970035795,8
0.1,128,0.0437303664422665,8
0.1,128,0.04433302084798189,8
0.1,128,0.04492404176994283,8
0.1,128,0.04550512027899523,8
0.1,128,0.04607774872689132,8
0.1,128,0.04664325891561255,8
0.1,128,0.04720285218767684,8
0.1,128,0.04775762342420867,8
0.1,128,0.04830858037491096,8
0.1,128,0.04885665935310672,8
0.1,128,0.04940273805153424,8
0.1,128,0.04994764603332078,9
0.1,128,0.05049217330311262,9
0.1,128,0.05103707724935877,9
0.1,128,0.05158308815910782,9
0.1,128,0.05213091343362204,9
