variant,eta_target,grid,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
aligned_guard_1p1,0.5,64,23,23,7.140274938683982e-05,8.140274938683989e-06,7.954302432552381e-05,0.00026079860535762966,3,3,8.918020859534903e-09,True,False,True
aligned_guard_1p1,0.5,64,24,24,7.954302432552381e-05,8.954302432552388e-06,8.84973267580762e-05,0.0002869428484291067,3,3,1.1899875114562575e-08,True,False,True
aligned_guard_1p1,0.5,64,25,25,8.84973267580762e-05,9.849732675807628e-06,9.834705943388383e-05,0.0003157150245603796,3,3,1.588805427578392e-08,True,False,True
aligned_guard_1p1,0.5,64,26,26,9.834705943388383e-05,1.0834705943388392e-05,0.00010918176537727222,0.0003473807600452316,3,3,2.110486552328871e-08,True,False,True
aligned_guard_1p1,0.5,64,27,27,0.00010918176537727222,1.1918176537727232e-05,0.00012109994191499945,0.0003822328374513606,3,3,2.8097185461251175e-08,True,False,True
aligned_guard_1p1,0.5,64,28,28,0.00012109994191499945,1.3109994191499957e-05,0.0001342099361064994,0.0004205940354852548,3,3,3.745335795428768e-08,True,False,True
aligned_guard_1p1,0.5,64,29,29,0.0001342099361064994,1.4420993610649954e-05,0.00014863092971714937,0.000462820278789287,3,3,4.992189677325431e-08,True,False,True
aligned_guard_1p1,0.5,64,30,30,0.00014863092971714937,1.586309297171495e-05,0.00016449402268886432,0.0005093041340656156,3,3,6.643872436515759e-08,True,False,True
aligned_guard_1p1,0.5,64,31,31,0.00016449402268886432,1.7449402268886447e-05,0.00018194342495775077,0.0005604786936764945,3,3,8.85902347345525e-08,True,False,True
aligned_guard_1p1,0.5,64,32,32,0.00018194342495775077,1.9194342495775094e-05,0.00020113776745352586,0.0006168218933360639,3,3,1.179927302263728e-07,True,False,True
aligned_guard_1p1,0.5,64,33,33,0.00020113776745352586,2.1113776745352607e-05,0.00022225154419887848,0.0006788613167863087,3,3,1.5723574970726985e-07,True,False,True
aligned_guard_1p1,0.5,64,34,34,0.00022225154419887848,2.322515441988787e-05,0.00024547669861876636,0.0007471795475994875,3,3,2.0950210562336689e-07,True,False,True
aligned_guard_1p1,0.5,64,35,35,0.00024547669861876636,2.554766986187666e-05,0.000271024368480643,0.0008224201366054293,3,3,2.792214227408001e-07,True,False,True
aligned_guard_1p1,0.5,64,36,36,0.000271024368480643,2.8102436848064327e-05,0.00029912680532870735,0.0009052942631219467,3,3,3.7221411591150647e-07,True,False,True
aligned_guard_1p1,0.5,64,37,37,0.00029912680532870735,3.091268053287076e-05,0.0003300394858615781,0.0009965881793728914,3,3,4.962245583948995e-07,True,False,True
aligned_guard_1p1,0.5,64,38,38,0.0003300394858615781,3.4003948586157844e-05,0.0003640434344477359,0.0010971715404893205,3,3,6.616746112584873e-07,True,False,True
aligned_guard_1p1,0.5,64,39,39,0.0003640434344477359,3.7404343444773634e-05,0.00040144777789250956,0.0012080067376112615,3,3,8.824332511643277e-07,True,False,True
aligned_guard_1p1,0.5,64,40,40,0.00040144777789250956,4.1144777789251e-05,0.00044259255568176054,0.0013301593691995013,3,3,1.1770894886588255e-06,True,False,True
aligned_guard_1p1,0.5,64,41,41,0.00044259255568176054,4.52592555681761e-05,0.00048785181124993667,0.0014648100061704647,3,3,1.5704844771762336e-06,True,False,True
aligned_guard_1p1,0.5,64,42,42,0.00048785181124993667,4.978518112499371e-05,0.0005376369923749304,0.00161326743683695,4,4,3.3187604836726483e-09,True,False,True
aligned_guard_1p1,0.5,64,43,43,0.0005376369923749304,5.4763699237493086e-05,0.0005924006916124235,0.001776983563260333,4,4,4.883300115317982e-09,True,False,True
aligned_guard_1p1,0.5,64,44,44,0.0005924006916124235,6.02400691612424e-05,0.0006526407607736659,0.001957570272335567,4,4,7.167396554782449e-09,True,False,True
aligned_guard_1p1,0.5,64,45,45,0.0006526407607736659,6.626407607736664e-05,0.0007189048368510325,0.0021568184554035183,4,4,1.0537254950120323e-08,True,False,True
aligned_guard_1p1,0.5,64,46,46,0.0007189048368510325,7.289048368510331e-05,0.0007917953205361358,0.0023767195723575726,4,4,1.547572068384957e-08,True,False,True
aligned_guard_1p1,0.5,64,47,47,0.0007917953205361358,8.017953205361364e-05,0.0008719748525897494,0.002619490106464507,4,4,2.2750866395390867e-08,True,False,True
aligned_guard_1p1,0.5,64,48,48,0.0008719748525897494,8.819748525897502e-05,0.0009601723378487245,0.0028875993486791153,4,4,3.34658433386747e-08,True,False,True
aligned_guard_1p1,0.5,64,49,49,0.0009601723378487245,9.701723378487253e-05,0.001057189571633597,0.0031838010159376887,4,4,4.9237547808297117e-08,True,False,True
aligned_guard_1p1,0.5,64,50,50,0.001057189571633597,0.00010671895716335979,0.001163908528796957,0.003511169289261731,4,4,7.250612471701887e-08,True,False,True
aligned_guard_1p1,0.5,64,51,51,0.001163908528796957,0.00011739085287969578,0.0012812993816766526,0.003873139951591983,4,4,1.0680299559018593e-07,True,False,True
aligned_guard_1p1,0.5,64,52,52,0.0012812993816766526,0.00012912993816766537,0.001410429319844318,0.004273557413609685,4,4,1.5743733979763385e-07,True,False,True
aligned_guard_1p1,0.5,64,53,53,0.001410429319844318,0.00014204293198443192,0.00155247225182875,0.004716728539884932,4,4,2.3221753570641188e-07,True,False,True
aligned_guard_1p1,0.5,64,54,54,0.00155247225182875,0.00015624722518287512,0.0017087194770116251,0.005207484328739496,4,4,3.4278948430067943e-07,True,False,True
aligned_guard_1p1,0.5,64,55,55,0.0017087194770116251,0.00017187194770116264,0.0018805914247127878,0.0057543639679594645,4,4,5.064255682793292e-07,True,False,True
aligned_guard_1p1,0.5,64,56,56,0.0018805914247127878,0.00018905914247127894,0.0020696505671840668,0.006361392654947478,4,4,7.488437262651182e-07,True,False,True
