model,eta_target,grid,variant,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
M1,0.1,32,aligned_guard_1p1,178,178,0.234596144773829,0.004345871022253405,0.2389420157960824,0.09807400219884285,5,5,3.642335345803498e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,179,179,0.2389420157960824,0.004431216147825036,0.24337323194390745,0.09791947156714192,5,5,3.6922643070691284e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,180,180,0.24337323194390745,0.004525367709717078,0.2478985996536245,0.09777259717296434,5,5,3.724800654320637e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,181,181,0.2478985996536245,0.00462846220778148,0.252527061861406,0.09763182548765714,5,5,3.737162212586793e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,182,182,0.252527061861406,0.004740730990804451,0.25726779285221046,0.09749581046551173,5,5,3.726126865643075e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,183,183,0.25726779285221046,0.00486249713517838,0.26213028998738885,0.09736337171483304,5,5,3.6917597256879996e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,184,184,0.26213028998738885,0.00499417496491403,0.2671244649523029,0.09723346126676274,5,5,3.6386247492416854e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,185,185,0.2671244649523029,0.005136271916940579,0.2722607368692435,0.09710513683832171,5,5,3.5779495107883493e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,186,186,0.2722607368692435,0.005289392594639333,0.27755012946388286,0.09697754009647114,5,5,3.533750652136578e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,187,187,0.27755012946388286,0.0054542449616453055,0.28300437442552817,0.09684987885531707,5,5,3.5448011282350985e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,188,188,0.28300437442552817,0.005631648718728229,0.2886360231442564,0.10197167216809089,5,5,3.6668440216206073e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,189,189,0.2886360231442564,0.005522758035628734,0.29415878117988514,0.10183092917357356,5,5,3.0785082286414954e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,190,190,0.29415878117988514,0.0054234583544013875,0.29958223953428653,0.1012376234786175,5,5,2.703452965069293e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,191,191,0.29958223953428653,0.005357156922541629,0.30493939645682816,0.10071487763167243,5,5,2.5067171376807045e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,192,192,0.30493939645682816,0.005319131640246297,0.31025852809707444,0.10027203842848839,5,5,2.413381002546704e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,193,193,0.31025852809707444,0.005304700815511769,0.3155632289125862,0.0998922296176909,5,5,2.3785387664323283e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,194,194,0.3155632289125862,0.0053104238796290795,0.3208736527922153,0.09956181272535555,5,5,2.3766563301982557e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,195,195,0.3208736527922153,0.005333795894494261,0.3262074486867096,0.09927059583127895,5,5,2.3936872258664425e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,196,196,0.3262074486867096,0.005372986683347424,0.331580435370057,0.09901083829247558,5,5,2.4204105461014766e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,197,197,0.331580435370057,0.005426665177276607,0.3370071005473336,0.09877654047514714,5,5,2.450802437622301e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,198,198,0.3370071005473336,0.00549388058254783,0.3425009811298815,0.09856296645721115,5,5,2.480727476709622e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,199,199,0.3425009811298815,0.005573980552759513,0.348074961682641,0.0983663165557473,5,5,2.5060666720880635e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,200,200,0.348074961682641,0.005666554109099493,0.3537415157917405,0.09818349713858009,5,5,2.5236402154714707e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,201,201,0.3537415157917405,0.005771391602706404,0.3595129073944469,0.09801195520675914,5,5,2.5307589044037434e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,202,202,0.3595129073944469,0.005888456760740546,0.3654013641551875,0.09784955712170053,5,5,2.5249622324776585e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,203,203,0.3654013641551875,0.006017867565222364,0.37141923172040986,0.09769449806270053,5,5,2.505659360832308e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,204,204,0.37141923172040986,0.006159883805698132,0.377579115526108,0.09754523330346275,5,5,2.473784511842374e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,205,205,0.377579115526108,0.006314899864491343,0.38389401539059936,0.09740042528112558,5,5,2.434655025124597e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,206,206,0.38389401539059936,0.006483441777861575,0.39037745716846095,0.09725890232040589,5,5,2.399986542894906e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,207,207,0.39037745716846095,0.0066661679529373885,0.39704362512139835,0.09711962613488007,5,5,2.3898550832820823e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,208,208,0.39704362512139835,0.006863873161619663,0.40390749828301803,0.09698166607882072,5,5,2.435489158568175e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,209,209,0.40390749828301803,0.007077495612460535,0.41098499389547855,0.10126145701625518,5,5,2.575498767360998e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,210,210,0.41098499389547855,0.0069893282409756435,0.4179743221364542,0.10182547206303988,5,5,2.298821398197388e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,211,211,0.4179743221364542,0.0068640273394937655,0.42483834947594795,0.10126276562005011,5,5,2.0611859590689457e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,212,212,0.42483834947594795,0.006778431635225537,0.43161678111117346,0.10072901292687327,5,5,1.9307202614501346e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,213,213,0.43161678111117346,0.006729373631553908,0.43834615474272737,0.10027438671122425,5,5,1.864196112851491e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,214,214,0.43834615474272737,0.006710959650078472,0.4450571143928058,0.09988397168720321,5,5,1.8335963604898042e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,215,215,0.4450571143928058,0.006718755308503874,0.4517758697013097,0.09954387026904996,5,5,1.8227983119229213e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,216,216,0.4517758697013097,0.006749541976160095,0.45852541167746974,0.0992436181501594,5,5,1.822471253753204e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,217,217,0.45852541167746974,0.006800983380057526,0.46532639505752726,0.09897527779054306,5,5,1.8266316088858817e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,218,218,0.46532639505752726,0.006871396102014629,0.4721977911595419,0.09873270864025024,5,5,1.831000634661887e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,219,219,0.4721977911595419,0.006959594441039547,0.47915738560058146,0.09851107334488818,5,5,1.8324153677424818e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,220,220,0.47915738560058146,0.007064783891526533,0.486222169492108,0.09830649928704893,5,5,1.8281885982521662e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,221,221,0.486222169492108,0.007186487101832197,0.4934086565939402,0.09811584099929348,5,5,1.8165699243444798e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,222,222,0.4934086565939402,0.007324492180507271,0.5007331487744474,0.09793650966329238,5,5,1.796658451529123e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,223,223,0.5007331487744474,0.007478816843370277,0.5082119656178177,0.0977663483247859,5,5,1.7694084899917682e-07,True,False,True
